trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.9998875021093592}",30,18,-0.6018970477543042,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.9, 'e': 0.9995500337489875}",30,19,-76.55082353263377,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 2}",1
3,False,"{'a': 0.9, 'e': 0.9989876708478425}",20,0,-76.01564348252323,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.9, 'e': 0.9982005399352042}",20,0,-107.49638138306024,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
5,False,"{'a': 0.9, 'e': 0.9971888181122075}",25,2,12.582851257916849,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,False,"{'a': 0.9, 'e': 0.9959527330119943}",25,0,-101.75381131976063,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.9, 'e': 0.9944925627484974}",25,0,-32.963750996941734,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
8,False,"{'a': 0.9, 'e': 0.9928086358538663}",25,0,-52.25533180459904,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
9,False,"{'a': 0.9, 'e': 0.9909013312045479}",20,0,-5.142886861634376,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.9, 'e': 0.9887710779360422}",20,8,20.546963383814923,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.9, 'e': 0.9864183553463477}",20,9,9.774290015309672,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.9, 'e': 0.9838436927881214}",25,0,28.551800283877157,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.9810476695495772}",25,4,30.296712197143172,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.9, 'e': 0.9780309147241483}",25,0,17.56531036437147,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.9, 'e': 0.9747941070689433}",35,21,-15.463813637077694,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.9, 'e': 0.9713379748520297}",20,0,24.279805343930462,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.9, 'e': 0.9676632956885756}",30,9,-3.1276252951876407,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.9, 'e': 0.9637708963658905}",20,12,-1.5702273709386194,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.9596616526574011}",25,0,27.56820611981867,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
